|Driver|12 Hour|3 Hour|Latest|Sentiment|Current Price|Season Start PriceSeason Price|Points/Million|ts
0|George Russell  RUS  Mercedes|4|4|1|76%|$23.8m|$24.0m|1.27|2022-09-16 19:59:16
1|Charles Leclerc  LEC  Ferrari|13|12|0|71%|$18.9m|$18.0m|1.52|2022-09-16 19:59:16
2|SAI  Carlos Sainz  Ferrari|7|7|1|44%|$17.3m|$17.0m|1.39|2022-09-16 19:59:16
3|Sergio Perez  PER  Red Bull|11|10|1|17%|$18.1m|$17.5m|1.47|2022-09-16 19:59:16
4|Max Verstappen  VER  Red Bull|3|3|0|3%|$30.6m|$30.5m|1.35|2022-09-16 19:59:16
5|Esteban Ocon  OCO  Alpine|0|0|0|0%|$12.3m|$12.0m|1.21|2022-09-16 19:59:16
6|Alex Albon  ALB  Williams|0|0|0|0%|$7.7m|$7.5m|1.21|2022-09-16 19:59:16
7|Kevin Magnussen  MAG  Haas|0|0|0|-8%|$6.1m|$5.5m|1.17|2022-09-16 19:59:16
8|Lance Stroll  STR  Aston Martin|-1|-1|0|-20%|$9.1m|$9.5m|1.19|2022-09-16 19:59:16
9|Mick Schumacher  SCH  Haas|-1|-1|0|-21%|$6.3m|$6.5m|1.02|2022-09-16 19:59:16
10|Daniel Ricciardo  RIC  Mclaren|-24|-24|0|-24%|$13.5m|$14.5m|0.4|2022-09-16 19:59:16
11|Pierre Gasly  GAS  AlphaTauri|-11|-10|0|-25%|$12.8m|$13.5m|0.81|2022-09-16 19:59:16
12|Sebastian Vettel  VET  Aston Martin|-7|-7|0|-38%|$11.7m|$11.5m|0.93|2022-09-16 19:59:16
13|Valtteri Bottas  BOT  Alfa Romeo|-2|-2|0|-39%|$9.5m|$9.0m|1.11|2022-09-16 19:59:16
14|Nicholas Latifi  LAT  Williams|-7|-7|0|-43%|$6.8m|$7.0m|0.73|2022-09-16 19:59:16
15|Lewis Hamilton  HAM  Mercedes|-39|-37|-1|-59%|$30.0m|$31.0m|0.86|2022-09-16 19:59:16
16|Fernando Alonso  ALO  Alpine|-4|-3|0|-80%|$12.7m|$12.5m|1.05|2022-09-16 19:59:16
17|Lando Norris  NOR  Mclaren|-4|-4|0|-82%|$15.9m|$16.0m|1.08|2022-09-16 19:59:16
18|Yuki Tsunoda  TSU  AlphaTauri|-14|-13|0|-93%|$8.2m|$8.5m|0.43|2022-09-16 19:59:16
19|Guanyu Zhou  ZHO  Alfa Romeo|-9|-9|0|-96%|$8.0m|$8.0m|0.64|2022-09-16 19:59:16
