|Driver|12 Hour|3 Hour|Latest|Sentiment|Current Price|Season Start PriceSeason Price|Points/Million|ts
0|Lewis Hamilton  HAM  Mercedes|-2|-1|0|89%|$30.0m|$31.0m|0.75|2022-06-27 08:14:40
1|Lance Stroll  STR  Aston Martin|-1|0|0|88%|$9.0m|$9.5m|1.32|2022-06-27 08:14:40
2|Fernando Alonso  ALO  Alpine|26|6|2|82%|$12.4m|$12.5m|0.63|2022-06-27 08:14:40
3|Sergio Perez  PER  Red Bull|29|6|2|66%|$18.4m|$17.5m|1.56|2022-06-27 08:14:40
4|Daniel Ricciardo  RIC  Mclaren|-3|0|0|41%|$13.5m|$14.5m|0.56|2022-06-27 08:14:40
5|George Russell  RUS  Mercedes|-5|0|0|32%|$23.8m|$24.0m|1.29|2022-06-27 08:14:40
6|Nicholas Latifi  LAT  Williams|12|3|1|27%|$6.7m|$7.0m|1.21|2022-06-27 08:14:40
7|Valtteri Bottas  BOT  Alfa Romeo|-4|-1|0|13%|$9.6m|$9.0m|2.01|2022-06-27 08:14:40
8|Sebastian Vettel  VET  Aston Martin|4|1|0|-1%|$11.6m|$11.5m|0.93|2022-06-27 08:14:40
9|Pierre Gasly  GAS  AlphaTauri|0|0|0|-8%|$13.0m|$13.5m|0.82|2022-06-27 08:14:40
10|Yuki Tsunoda  TSU  AlphaTauri|-2|0|0|-17%|$8.3m|$8.5m|0.54|2022-06-27 08:14:40
11|Mick Schumacher  SCH  Haas|-5|-1|0|-20%|$6.2m|$6.5m|0.34|2022-06-27 08:14:40
12|Alex Albon  ALB  Williams|-11|-2|0|-25%|$7.7m|$7.5m|1.2|2022-06-27 08:14:40
13|Guanyu Zhou  ZHO  Alfa Romeo|-20|-4|-1|-28%|$8.4m|$8.0m|0.57|2022-06-27 08:14:40
14|Kevin Magnussen  MAG  Haas|-2|-1|0|-29%|$6.1m|$5.5m|1.06|2022-06-27 08:14:40
15|Lando Norris  NOR  Mclaren|-4|-1|0|-35%|$15.7m|$16.0m|1.0|2022-06-27 08:14:40
16|Charles Leclerc  LEC  Ferrari|2|1|0|-37%|$18.8m|$18.0m|1.62|2022-06-27 08:14:40
17|SAI  Carlos Sainz  Ferrari|9|2|1|-38%|$17.2m|$17.0m|1.25|2022-06-27 08:14:40
18|Esteban Ocon  OCO  Alpine|-9|-2|0|-69%|$12.4m|$12.0m|1.34|2022-06-27 08:14:40
19|Max Verstappen  VER  Red Bull|-17|-4|-1|-92%|$30.5m|$30.5m|1.25|2022-06-27 08:14:40
