|Driver|12 Hour|3 Hour|Latest|Sentiment|Current Price|Season Start PriceSeason Price|Points/Million|ts
0|SAI  Carlos Sainz  Ferrari|7|6|0|91%|$17.7m|$17.0m|1.36|2022-09-25 09:18:32
1|Sergio Perez  PER  Red Bull|11|9|0|89%|$18.7m|$17.5m|1.42|2022-09-25 09:18:32
2|Max Verstappen  VER  Red Bull|10|9|0|34%|$31.2m|$30.5m|1.32|2022-09-25 09:18:32
3|George Russell  RUS  Mercedes|4|3|0|12%|$24.1m|$24.0m|1.26|2022-09-25 09:18:32
4|Charles Leclerc  LEC  Ferrari|12|12|0|12%|$19.8m|$18.0m|1.46|2022-09-25 09:18:32
5|Esteban Ocon  OCO  Alpine|0|0|0|0%|$12.3m|$12.0m|1.18|2022-09-25 09:18:32
6|Alex Albon  ALB  Williams|0|0|0|0%|$7.7m|$7.5m|1.21|2022-09-25 09:18:32
7|Guanyu Zhou  ZHO  Alfa Romeo|-5|-5|0|-5%|$7.3m|$8.0m|0.7|2022-09-25 09:18:32
8|Daniel Ricciardo  RIC  Mclaren|-12|-12|-1|-12%|$11.0m|$14.5m|0.49|2022-09-25 09:18:32
9|Pierre Gasly  GAS  AlphaTauri|-11|-10|0|-24%|$12.1m|$13.5m|0.85|2022-09-25 09:18:32
10|Fernando Alonso  ALO  Alpine|-4|-4|0|-32%|$12.4m|$12.5m|1.08|2022-09-25 09:18:32
11|Lando Norris  NOR  Mclaren|-4|-3|0|-36%|$15.6m|$16.0m|1.1|2022-09-25 09:18:32
12|Kevin Magnussen  MAG  Haas|0|0|0|-36%|$6.1m|$5.5m|1.17|2022-09-25 09:18:32
13|Valtteri Bottas  BOT  Alfa Romeo|-2|-1|0|-63%|$9.4m|$9.0m|1.12|2022-09-25 09:18:32
14|Sebastian Vettel  VET  Aston Martin|-7|-6|0|-67%|$11.3m|$11.5m|0.97|2022-09-25 09:18:32
15|Yuki Tsunoda  TSU  AlphaTauri|-23|-19|-1|-71%|$7.0m|$8.5m|0.46|2022-09-25 09:18:32
16|Lewis Hamilton  HAM  Mercedes|-37|-31|-1|-77%|$27.7m|$31.0m|0.93|2022-09-25 09:18:32
17|Nicholas Latifi  LAT  Williams|-7|-6|0|-88%|$6.4m|$7.0m|0.77|2022-09-25 09:18:32
18|Lance Stroll  STR  Aston Martin|-1|-1|0|-91%|$9.1m|$9.5m|1.15|2022-09-25 09:18:32
19|Mick Schumacher  SCH  Haas|-2|-1|0|-94%|$6.3m|$6.5m|1.12|2022-09-25 09:18:32
