|Driver|12 Hour|3 Hour|Latest|Sentiment|Current Price|Season Start PriceSeason Price|Points/Million|ts
0|George Russell  RUS  Mercedes|3|7|5|84%|$23.7m|$24.0m|1.31|2022-06-15 10:22:25
1|Pierre Gasly  GAS  AlphaTauri|0|2|1|73%|$12.9m|$13.5m|0.82|2022-06-15 10:22:25
2|Fernando Alonso  ALO  Alpine|0|1|1|69%|$12.2m|$12.5m|0.65|2022-06-15 10:22:25
3|Guanyu Zhou  ZHO  Alfa Romeo|0|1|1|63%|$8.4m|$8.0m|0.42|2022-06-15 10:22:25
4|Valtteri Bottas  BOT  Alfa Romeo|0|-1|-1|62%|$9.6m|$9.0m|2.01|2022-06-15 10:22:25
5|Nicholas Latifi  LAT  Williams|2|5|4|15%|$6.6m|$7.0m|1.23|2022-06-15 10:22:25
6|Mick Schumacher  SCH  Haas|0|0|0|15%|$6.2m|$6.5m|0.42|2022-06-15 10:22:25
7|Daniel Ricciardo  RIC  Mclaren|0|0|0|10%|$13.5m|$14.5m|0.56|2022-06-15 10:22:25
8|Sergio Perez  PER  Red Bull|2|5|4|9%|$18.3m|$17.5m|1.82|2022-06-15 10:22:25
9|Yuki Tsunoda  TSU  AlphaTauri|1|2|1|9%|$8.3m|$8.5m|0.74|2022-06-15 10:22:25
10|Charles Leclerc  LEC  Ferrari|-1|-4|-3|6%|$19.0m|$18.0m|1.65|2022-06-15 10:22:25
11|Kevin Magnussen  MAG  Haas|0|0|0|6%|$6.1m|$5.5m|1.09|2022-06-15 10:22:25
12|Lewis Hamilton  HAM  Mercedes|0|0|99|0%|$30.0m|$31.0m|0.65|2022-06-15 10:22:25
13|Max Verstappen  VER  Red Bull|0|0|0|-17%|$30.5m|$30.5m|1.23|2022-06-15 10:22:25
14|Esteban Ocon  OCO  Alpine|-1|-2|-2|-24%|$12.4m|$12.0m|1.29|2022-06-15 10:22:25
15|Lando Norris  NOR  Mclaren|0|-1|-1|-34%|$15.8m|$16.0m|1.12|2022-06-15 10:22:25
16|Sebastian Vettel  VET  Aston Martin|1|3|2|-41%|$11.4m|$11.5m|0.91|2022-06-15 10:22:25
17|SAI  Carlos Sainz  Ferrari|-1|-3|-2|-42%|$17.2m|$17.0m|1.1|2022-06-15 10:22:25
18|Lance Stroll  STR  Aston Martin|0|0|0|-58%|$9.0m|$9.5m|1.26|2022-06-15 10:22:25
19|Alex Albon  ALB  Williams|0|0|0|-93%|$7.8m|$7.5m|1.23|2022-06-15 10:22:25
