|Driver|12 Hour|3 Hour|Latest|Sentiment|Current Price|Season Start PriceSeason Price|Points/Million|ts
0|Nicholas Latifi  LAT  Williams|-1|0|0|79%|$6.7m|$7.0m|1.09|2022-07-08 21:46:55
1|Charles Leclerc  LEC  Ferrari|5|0|0|78%|$18.8m|$18.0m|1.5|2022-07-08 21:46:55
2|Fernando Alonso  ALO  Alpine|6|0|0|52%|$12.5m|$12.5m|0.86|2022-07-08 21:46:55
3|Mick Schumacher  SCH  Haas|6|0|0|43%|$6.2m|$6.5m|0.66|2022-07-08 21:46:55
4|Max Verstappen  VER  Red Bull|6|0|0|27%|$30.4m|$30.5m|1.12|2022-07-08 21:46:55
5|Sergio Perez  PER  Red Bull|-4|0|0|27%|$18.4m|$17.5m|1.46|2022-07-08 21:46:55
6|Lewis Hamilton  HAM  Mercedes|-2|0|0|18%|$30.1m|$31.0m|0.75|2022-07-08 21:46:55
7|Alex Albon  ALB  Williams|-4|0|0|15%|$7.6m|$7.5m|0.93|2022-07-08 21:46:55
8|Lance Stroll  STR  Aston Martin|3|0|-1|11%|$9.1m|$9.5m|1.22|2022-07-08 21:46:55
9|George Russell  RUS  Mercedes|0|0|0|0%|$24.0m|$24.0m|1.09|2022-07-08 21:46:55
10|Daniel Ricciardo  RIC  Mclaren|-2|0|0|-8%|$13.5m|$14.5m|0.5|2022-07-08 21:46:55
11|Esteban Ocon  OCO  Alpine|0|0|0|-13%|$12.3m|$12.0m|1.12|2022-07-08 21:46:55
12|Kevin Magnussen  MAG  Haas|3|0|0|-32%|$6.1m|$5.5m|1.24|2022-07-08 21:46:55
13|Guanyu Zhou  ZHO  Alfa Romeo|2|0|0|-35%|$8.4m|$8.0m|0.44|2022-07-08 21:46:55
14|SAI  Carlos Sainz  Ferrari|-1|0|0|-42%|$17.2m|$17.0m|1.34|2022-07-08 21:46:55
15|Yuki Tsunoda  TSU  AlphaTauri|3|0|0|-43%|$8.3m|$8.5m|0.5|2022-07-08 21:46:55
16|Valtteri Bottas  BOT  Alfa Romeo|-10|0|0|-54%|$9.7m|$9.0m|1.59|2022-07-08 21:46:55
17|Pierre Gasly  GAS  AlphaTauri|-4|0|0|-71%|$12.9m|$13.5m|0.68|2022-07-08 21:46:55
18|Lando Norris  NOR  Mclaren|-10|0|0|-76%|$15.7m|$16.0m|0.97|2022-07-08 21:46:55
19|Sebastian Vettel  VET  Aston Martin|-5|0|0|-83%|$11.5m|$11.5m|0.92|2022-07-08 21:46:55
