|Driver|12 Hour|3 Hour|Latest|Sentiment|Current Price|Season Start PriceSeason Price|Points/Million|ts
0|SAI  Carlos Sainz  Ferrari|9|7|0|74%|$17.8m|$17.0m|1.35|2022-09-27 00:10:14
1|George Russell  RUS  Mercedes|5|4|0|56%|$24.1m|$24.0m|1.26|2022-09-27 00:10:14
2|Max Verstappen  VER  Red Bull|12|9|0|51%|$31.3m|$30.5m|1.32|2022-09-27 00:10:14
3|Charles Leclerc  LEC  Ferrari|17|13|0|42%|$19.9m|$18.0m|1.45|2022-09-27 00:10:14
4|Sergio Perez  PER  Red Bull|14|10|1|14%|$18.9m|$17.5m|1.41|2022-09-27 00:10:14
5|Esteban Ocon  OCO  Alpine|0|0|0|0%|$12.3m|$12.0m|1.18|2022-09-27 00:10:14
6|Alex Albon  ALB  Williams|0|0|0|0%|$7.7m|$7.5m|1.21|2022-09-27 00:10:14
7|Lance Stroll  STR  Aston Martin|-2|-1|0|-4%|$9.0m|$9.5m|1.16|2022-09-27 00:10:14
8|Mick Schumacher  SCH  Haas|-1|-1|0|-6%|$6.2m|$6.5m|1.14|2022-09-27 00:10:14
9|Guanyu Zhou  ZHO  Alfa Romeo|-12|-9|0|-17%|$7.2m|$8.0m|0.71|2022-09-27 00:10:14
10|Daniel Ricciardo  RIC  Mclaren|-18|-18|0|-18%|$10.6m|$14.5m|0.51|2022-09-27 00:10:14
11|Yuki Tsunoda  TSU  AlphaTauri|-18|-18|0|-18%|$6.7m|$8.5m|0.48|2022-09-27 00:10:14
12|Kevin Magnussen  MAG  Haas|-1|0|0|-42%|$6.1m|$5.5m|1.17|2022-09-27 00:10:14
13|Sebastian Vettel  VET  Aston Martin|-9|-7|-1|-47%|$11.2m|$11.5m|0.98|2022-09-27 00:10:14
14|Pierre Gasly  GAS  AlphaTauri|-14|-11|-1|-54%|$12.0m|$13.5m|0.86|2022-09-27 00:10:14
15|Lewis Hamilton  HAM  Mercedes|-42|-31|-1|-70%|$27.3m|$31.0m|0.95|2022-09-27 00:10:14
16|Nicholas Latifi  LAT  Williams|-9|-6|0|-70%|$6.3m|$7.0m|0.78|2022-09-27 00:10:14
17|Fernando Alonso  ALO  Alpine|-6|-4|0|-79%|$12.4m|$12.5m|1.08|2022-09-27 00:10:14
18|Lando Norris  NOR  Mclaren|-5|-4|0|-84%|$15.6m|$16.0m|1.1|2022-09-27 00:10:14
19|Valtteri Bottas  BOT  Alfa Romeo|-2|-2|0|-87%|$9.4m|$9.0m|1.12|2022-09-27 00:10:14
