|Driver|12 Hour|3 Hour|Latest|Sentiment|Current Price|Season Start PriceSeason Price|Points/Million|ts
0|Pierre Gasly  GAS  AlphaTauri|18|20|13|99%|$12.9m|$13.5m|0.82|2022-06-18 14:25:02
1|Nicholas Latifi  LAT  Williams|50|-8|6|85%|$6.6m|$7.0m|1.23|2022-06-18 14:25:02
2|Guanyu Zhou  ZHO  Alfa Romeo|15|-2|-1|81%|$8.4m|$8.0m|0.42|2022-06-18 14:25:02
3|Fernando Alonso  ALO  Alpine|75|71|35|75%|$12.3m|$12.5m|0.64|2022-06-18 14:25:02
4|Sergio Perez  PER  Red Bull|24|8|3|65%|$18.3m|$17.5m|1.82|2022-06-18 14:25:02
5|Sebastian Vettel  VET  Aston Martin|54|54|48|54%|$11.5m|$11.5m|0.9|2022-06-18 14:25:02
6|Daniel Ricciardo  RIC  Mclaren|28|9|5|39%|$13.5m|$14.5m|0.56|2022-06-18 14:25:02
7|Lance Stroll  STR  Aston Martin|79|24|8|28%|$9.0m|$9.5m|1.26|2022-06-18 14:25:02
8|Valtteri Bottas  BOT  Alfa Romeo|-34|-13|-6|21%|$9.6m|$9.0m|2.01|2022-06-18 14:25:02
9|Mick Schumacher  SCH  Haas|4|-3|-2|20%|$6.2m|$6.5m|0.42|2022-06-18 14:25:02
10|George Russell  RUS  Mercedes|15|15|-84|15%|$23.8m|$24.0m|1.31|2022-06-18 14:25:02
11|Lewis Hamilton  HAM  Mercedes|10|-3|0|6%|$30.0m|$31.0m|0.65|2022-06-18 14:25:02
12|Yuki Tsunoda  TSU  AlphaTauri|-12|-16|-8|2%|$8.3m|$8.5m|0.74|2022-06-18 14:25:02
13|Max Verstappen  VER  Red Bull|11|8|3|-3%|$30.5m|$30.5m|1.23|2022-06-18 14:25:02
14|Kevin Magnussen  MAG  Haas|-14|-8|-4|-13%|$6.1m|$5.5m|1.09|2022-06-18 14:25:02
15|Esteban Ocon  OCO  Alpine|-12|-6|-2|-44%|$12.4m|$12.0m|1.29|2022-06-18 14:25:02
16|SAI  Carlos Sainz  Ferrari|-13|-2|-2|-65%|$17.2m|$17.0m|1.1|2022-06-18 14:25:02
17|Alex Albon  ALB  Williams|13|1|-1|-76%|$7.8m|$7.5m|1.23|2022-06-18 14:25:02
18|Lando Norris  NOR  Mclaren|-45|-26|-12|-87%|$15.8m|$16.0m|1.12|2022-06-18 14:25:02
19|Charles Leclerc  LEC  Ferrari|-94|-94|-58|-94%|$18.9m|$18.0m|1.66|2022-06-18 14:25:02
